id,Vehicle Name,Vehicle Description,Branch
211,V1820 FS Nth,Utility Ford Ranger 4x2 Canopy Single Cab MRO,Field Services North
212,V1821 FS Nth,Utility Ford Ranger 4x2 Canopy Single Cab MRO,Field Services North
213,V1822 FS Sth On call,Utility Ford Ranger 4x2 Canopy Alloy Tray Single Cab,Field Services South
214,V1823 IPCD,Utility Ford Ranger 4x4 Alloy Tray Single Cab SPO,IPCD
215,V1824 CS Trade waste,Utility Ford Ranger 4x2  Canopy Single Cab,Trade Waste
216,V1827 ME Sth,Utility Ford Ranger 4x2 Well Back Dual Cab SSB,Mechanical and Electrical Services - South
217,V1828 Planning,Utility Ford Ranger 4x2 Alloy Tray Single Cab,Network Operations
218,V1829 STP Nth,Utility Ford Ranger 4x4 Alloy Tray 4x4 Dual Cab,Treatment Plants
219,V1830 Planning,Utility Ford Ranger 4x2 Alloy Tray Single Cab,Network Operations
220,V1831 Pri Wks Sth,Utility Ford Ranger 4x2 Alloy Tray Single Cab,Private Works South
221,V1832 ME Sth,Utility Ford Ranger 4x2 Single Cab Canopy EIC,Mechanical and Electrical Services - South
222,V1833 Pri Wks Sth,Utility Ford Ranger 4x2 Alloy Tray Single Cab,Private Works South
223,V1834 STP Nth,Utility Ford Ranger 4x2 Alloy Tray Single Cab,Treatment Plants
224,V1835 ME Sth,Utility Ford Ranger 4x2 Canopy Single Cab,Mechanical and Electrical Services - South
225,V1836 Pri Wks Nth,Utility Ford Ranger 4x2  Alloy Tray Single Cab,Private Works North
226,V1837 Pri Wks Nth,Utility Ford Ranger 4x2 Alloy Tray Single Cab,Private Works North
227,V1838 Pri Wks Nth,Utility Ford Ranger 4x2 Alloy Tray Single Cab,Private Works North
228,V1839 Net Ops,Utility Ford Ranger 4x2 Well Back Dual Cab,Network Operations
229,V1840 Water Sol Sth,Utility Ford Ranger 4x4 Canopy Single Cab - Lab,Water Solutions
230,V1841 WACI Nth,Utility Ford Ranger 4x2 Alloy Tray Single Cab,Wellbeing & Continuous Improvement
231,V1842 Water Sol Nth,Utility Ford Ranger 4x4 Canopy Single Cab - Lab,Water Solutions
232,V1843 Water Sol Sth,Utility Ford Ranger 4x4 Canopy  Single Cab - Lab,Water Solutions
233,V1844 Water Sol TBA,Utility Ford Ranger 4x4 Canopy Single Cab - Lab,Water Solutions
234,V1845 Water Sol,Utility Ford Ranger 4x4 Canopy Single Cab - Lab,Water Solutions
235,V1847 ME Nth,Utility Ford Ranger 4x4 Alloy Tray Dual Cab,Mechanical and Electrical Services - North
236,V1849 NSC RAV TDS,Wagon Toyota Rav4 GX Hybrid AWD,Technology & Digital Solutions
237,V1851 Cap Del Wamuran,Utility Ford Ranger 4x4 Alloy Tray Dual Cab,Capital Delivery
238,V1852 ENV MGR,Utility Ford Ranger 4x2 Alloy Tray  Dual Cab,Wellbeing & Continuous Improvement
239,V1855 Planning,Utility Ford Ranger 4x2 Canopy Single Cab,Network Operations
240,V1857 Tech DS Sth,Utility Ford Ranger 4x2 Well Back Dual Cab,Technology & Digital Solutions
241,V1858 Enviro Sth,Utility Ford Ranger 4x2 Alloy Tray  Dual Cab,Wellbeing & Continuous Improvement
242,V1859 ME Sth,Utility Ford Ranger 4x2 Well Back Dual Cab,Mechanical and Electrical Services - South
243,V1860 Facilities Mgr (Cap Del),Utility Ford Ranger 4x2  Dual Cab,Capital Delivery
244,V1861 Cap Del STP,Utility Ford Ranger 4x2 Well Back Dual Cab,Capital Delivery
245,V1862 Pri Wks Sth,Utility Ford Ranger 4x2 Alloy Tray  Single Cab SPO,Private Works South
246,V1864 ME Nth (not in service),Utility Ford Ranger 4x2 Single Cab,Mechanical and Electrical Services - North
247,V1865 Retail Serv S,Utility Ford Ranger 4x2 Alloy Tray Modified Single Cab,Retail Services
248,V1866 STP Sth,Utility Ford Ranger 4x2 Single Cab,Treatment Plants
249,V1870 Facilities,Utility Ford Ranger 4x2 Alloy Tray Single Cab SPO,Capital Delivery
250,V1873 FS Nth (not in service),Utility Ford Ranger 4x2 Single Cab Field Services Canopy C0011,Field Services North
251,V1877 Comm Delivery (not in service),Utility Ford Ranger 4x4 Canopy Single Cab,Commercial Delivery
252,V1878 Planning Nth,Utility Ford Ranger 4x4 Alloy Tray Single Cab,Network Operations
253,V1881 Pri Wks Sth,Utility Ford Ranger 4x4 Alloy Tray Modified Single Cab,Private Works South
254,V1889 TBA (not in service),Utility Ford Ranger 4x2 Single Cab M& E Canopy C0002,TBA (not in service)
255,V1890 TBA (not in service),Utility Ford Ranger 4x2 Single Cab M& E Canopy C0005,TBA (not in service)
256,V1891 TBA (not in service),Utility Ford Ranger 4x2 Single Cab M& E Canopy C0003,TBA (not in service)
257,V1892 STP Sth,Utility Ford Ranger 4x2 Single Cab,Treatment Plants
258,V1893 STP Sth,Utility Ford Ranger 4x2 Single Cab,Treatment Plants
259,V1894 STP Nth,Utility Ford Ranger 4x2 Single Cab,Treatment Plants
260,V1895 STP Nth,Utility Ford Ranger 4x2 Single Cab,Treatment Plants
261,V1900 WACI Nth,Utility Ford Ranger Dual Cab Chassis,Wellbeing & Continuous Improvement
262,V1901 PW Sth,Utility Ford Ranger Single Cab Chassis 4 x 4,Private Works South
263,V1903 Pri Wks Nth,Utility Ford Ranger Single Cab Chassis 4 x 4,Private Works North
264,V1906 FS Nth,Utility Ford Ranger Single Cab Chassis 4 x 4,Field Services North
265,V1907 IPCD,Utility Ford Ranger Single Cab Chassis 4 x 4,IPCD
266,V1908 IPCD,Utility Ford Ranger Single Cab Chassis 4 x 4,IPCD
267,V1909 ME Nth,Utility Ford Ranger Single Cab Chassis 4 x 4,Mechanical and Electrical Services - North
268,V1910 Pri Wks Nth,Utility Ford Ranger Single Cab Chassis 4 x 4,Private Works North
269,V1911 STP Kawana Pool,Utility Ford Ranger Double Cab Chassis 4x2,Treatment Plants
270,V1912 STP Maroochy Pool,Utility Ford Ranger Double Cab Chassis 4x2,Treatment Plants
271,V1913 Cap Del STP,Utility Ford Ranger Double Cab Chassis 4x2,Capital Delivery
272,V1914 IPCD,Utility Ford Ranger Single Cab Chassis 4 x 2,IPCD
273,V1915 Net Ops,Utility Ford Ranger Single Cab Chassis 4 x 2,Network Operations
274,V1916 STP,Utility Ford Ranger 4x2 Well Back Dual Cab,Treatment Plants
275,V1917 Net Ops,Utility Ford Ranger 4x2 Dual Cab,Network Operations
276,V1919 ME Nth,Utility Ford Ranger 4x2 Well Back Dual Cab,Mechanical and Electrical Services - North
277,V1920 SSC Pool,Utility Ford Ranger 4x2 Dual Cab,Pool Vehicle
278,V1921 M&E Nth,Utility Ford Ranger 4x2 Dual Cab,Mechanical and Electrical Services - North
279,V1922 STP Mgr,Utility Ford Ranger 4x2 Dual Cab,Treatment Plants
280,V1935 Planning,Utility Ford Ranger 4x2 Dual Cab,Network Operations
